group,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,26.10325,4.963223,3.348847295780002e-150,7.36478497287938e-146
0,CD8A,21.75611,4.255734,6.0467620133238525e-105,6.649019509850908e-101
0,HLA-B,21.497072,1.3740387,1.6582546510881613e-102,1.2156112095576948e-98
0,CD7,20.707502,3.223201,2.964374862925933e-95,1.629813299636678e-91
0,ZFP36L2,19.29949,2.2894154,5.424130486483327e-83,2.3857495531748266e-79
0,TUBA4A,18.614336,2.5968404,2.458877979472353e-77,9.012607420759332e-74
0,CST7,18.448643,3.024427,5.347038201324331e-76,1.6798866303360668e-72
0,CTSW,18.427729,3.3199427,7.87194310219691e-76,2.1639971587939305e-72
0,CD3E,18.416496,2.6790822,9.687311422718019e-76,2.367148364537941e-72
0,GZMB,18.397131,4.1171284,1.3850915850548683e-75,3.0460934138526666e-72
0,CD3D,18.166351,2.8371277,9.5331548874587e-74,1.9059376571362882e-70
0,FYN,17.9699,2.38341,3.353138888112707e-72,6.145185868947889e-69
0,HLA-C,17.86612,1.1848689,2.165433610732212e-71,3.6632473820940625e-68
0,CALM1,17.646532,1.406869,1.0819956841909365e-69,1.6996606490519342e-66
0,SYTL3,17.563864,2.331325,4.659254416161022e-69,6.831088208014213e-66
0,TGFB1,17.40869,1.8946292,7.088916346181581e-68,9.743715517826583e-65
0,DUSP4,17.39206,2.4841895,9.4766351179796e-68,1.225942114791808e-64
0,GZMA,17.339674,3.5607421,2.3607544514948974e-67,2.8843173276264323e-64
0,NKG7,17.114094,3.1867855,1.1651654198257984e-65,1.281215895640448e-62
0,LEPROTL1,17.078096,2.2289834,2.1605123975960836e-65,2.262570887996813e-62
0,HLA-A,16.799614,1.2423615,2.4563676565037313e-63,2.4156485293451835e-60
0,SARAF,16.797947,1.5330732,2.5263694150117873e-63,2.4156485293451835e-60
0,SH2D2A,16.694126,2.941533,1.4462046170686373e-62,1.3252054974405615e-59
0,BTG1,16.658249,1.4447418,2.636281389266842e-62,2.319084012510256e-59
0,PTPRC,16.569986,1.8039764,1.1485280185872613e-61,9.71478007106579e-59
0,PTPN22,16.440845,2.765109,9.75496537879975e-61,7.945599948539411e-58
0,GNG2,16.416517,2.1047862,1.4569413201417113e-60,1.1443233397341613e-57
0,GZMH,15.802601,3.5450857,2.985432755593984e-56,2.1885212387007635e-53
0,PDE3B,15.645719,2.5562263,3.5533785874771205e-55,2.520835545025704e-52
0,ITGAE,15.5136,2.7395122,2.8068782851727156e-54,1.9290271014849486e-51
0,ARHGDIB,14.979296,1.4275193,1.0027339693161457e-50,6.68246225854566e-48
0,ALOX5AP,14.880873,2.235064,4.387393024040079e-50,2.8378690407261593e-47
0,CXCR6,14.662793,3.7127752,1.1158634789894349e-48,7.0114484656959e-46
0,EIF1,14.311723,0.7933376,1.8487511817041195e-46,1.0988577294064052e-43
0,CD96,14.235405,2.52421,5.524174922475903e-46,3.1970435498707908e-43
0,RUNX3,14.111185,2.030839,3.240843965183472e-45,1.827503602110639e-42
0,IL32,14.07257,2.0670273,5.5996810663783513e-45,3.0787046502948177e-42
0,B2M,14.043321,0.9286141,8.465116554978301e-45,4.540605933587385e-42
0,CD8B,13.917514,3.3150978,4.958571667968338e-44,2.596402574332374e-41
0,TRBC2,13.750074,2.3015668,5.087715137988847e-43,2.542932529878425e-40
0,EML4,13.646412,1.4686084,2.1206481053045625e-42,1.0363842918190654e-39
0,CD2,13.583945,2.0971792,4.98664305727707e-42,2.3840490025138546e-39
0,TNFAIP3,13.459487,1.6432132,2.7078923423558436e-41,1.267063157299781e-38
0,NR3C1,13.366898,1.6082329,9.439654625280652e-41,4.3249350941494194e-38
0,CXCR4,13.152906,1.4822682,1.6375765448200037e-39,7.349710892588065e-37
0,ISG20,13.141635,1.6243373,1.9007507335048685e-39,8.360262026247814e-37
0,CREM,12.913078,1.4800537,3.7980877531555866e-38,1.6062989589884166e-35
0,SPOCK2,12.910657,1.937682,3.9194108983927276e-38,1.626333669385903e-35
0,CLEC2B,12.883591,1.7232741,5.568328224438368e-38,2.2677532279971964e-35
0,PPP1R16B,12.8719225,1.9573575,6.476933890545151e-38,2.589831456743072e-35
0,HMGB1,12.711548,1.0747325,5.101432135518254e-37,1.9682578162160957e-34
0,CAMK4,12.647533,2.2170186,1.1544267882261714e-36,4.303076936723722e-34
0,TSC22D3,12.636858,1.3712883,1.322340549492035e-36,4.846818894071472e-34
0,FAM177A1,12.496802,1.5320057,7.771464583770097e-36,2.756613695585032e-33
0,METRNL,12.454735,1.7080846,1.317894372172236e-35,4.528614536376846e-33
0,TENT5C,12.286144,1.8885494,1.0751249669332026e-34,3.582446707999241e-32
0,RPS15A,12.050801,0.84792435,1.9207334987253136e-33,6.211878103524573e-31
0,KLRK1,11.994367,2.9339814,3.803150519389589e-33,1.1948412317487976e-30
0,LINC01871,11.975475,3.5234485,4.776898120126533e-33,1.4590769924697599e-30
0,CBLB,11.804385,1.7564979,3.704873433646766e-32,1.1161311856542422e-29
0,RBM38,11.744061,1.8684897,7.575883865900644e-32,2.1922215523537757e-29
0,NELL2,11.653813,2.7858844,2.1941519172417218e-31,6.186383200510249e-29
0,SLC25A3,11.64294,1.1110451,2.4927404524148507e-31,6.939284560697139e-29
0,SRGN,11.51995,1.350108,1.0467206736097493e-30,2.841911241237729e-28
0,SLA2,11.501971,3.110118,1.2893613901326866e-30,3.4580043526582982e-28
0,CLEC2D,11.455141,2.0036807,2.216022430714975e-30,5.871658469431775e-28
0,CRTAM,11.44252,3.4889264,2.5632837409082757e-30,6.7109209559589045e-28
0,SRSF7,11.431329,1.1837118,2.916114010207293e-30,7.544844624997505e-28
0,SUB1,11.38942,1.0574989,4.7212412877327526e-30,1.1798811181797578e-27
0,PARP8,11.2535715,1.900172,2.2240062706059363e-29,5.316341945996277e-27
0,LDHA,11.167728,1.1316897,5.866175335276974e-29,1.3871927739076477e-26
0,ADGRE5,11.122406,1.2914829,9.760345835381423e-29,2.2835055916139175e-26
0,NIBAN1,11.098435,1.6809645,1.2765908612237056e-28,2.9244568979199727e-26
0,SLC7A5,11.029142,1.6724465,2.7648991075255337e-28,6.268624863165108e-26
0,LINC02446,11.0160055,3.6250234,3.1994327186543866e-28,7.107265085721946e-26
0,RPS27,10.975922,0.831743,4.989423243614099e-28,1.0864098611243689e-25
0,AOAH,10.92925,2.186995,8.353577499770524e-28,1.7836104502422655e-25
0,ITM2A,10.808761,2.1532662,3.128675750377175e-27,6.615945875220657e-25
0,IL21R,10.749985,2.282437,5.927151431660728e-27,1.2297161725007804e-24
0,PTMA,10.698194,0.64337426,1.0378205144503816e-26,2.133060631195588e-24
0,STK17A,10.697241,1.281726,1.048541147641446e-26,2.1351404554565444e-24
0,H2AZ1,10.644695,1.2174026,1.845871672801109e-26,3.724257782407522e-24
0,CD3G,10.636956,2.2795565,2.0057445064689094e-26,3.984069656615245e-24
0,UBC,10.601317,0.7471034,2.9381138875618787e-26,5.769196483505432e-24
0,RNF125,10.449793,2.2629488,1.4684529961148905e-25,2.7839843353929893e-23
