,cell_type,n_cells,PD-1,PD-1_pct,PD-L1,PD-L1_pct,PD-L2,PD-L2_pct,CTLA-4,CTLA-4_pct,LAG-3,LAG-3_pct,TIM-3,TIM-3_pct,TIGIT,TIGIT_pct,VISTA,VISTA_pct,IDO1,IDO1_pct,B7-H3,B7-H3_pct
0,T cell,786,0.5294,30.03,0.048,3.56,0.0104,0.89,0.5326,30.15,0.429,24.81,0.1283,8.4,0.6906,38.42,0.5003,31.3,0.0026,0.25,0.0,0.0
1,Myeloid/Macro,493,0.0574,8.92,0.0653,11.76,0.055,11.16,0.054,7.91,0.0627,9.74,0.5873,66.53,0.0559,8.52,0.6242,62.68,0.0734,5.88,0.1245,21.91
2,B cell,319,0.065,5.33,0.0296,3.13,0.0065,0.63,0.0271,1.88,0.0,0.0,0.0109,1.25,0.0484,3.76,0.3832,28.53,0.008,0.63,0.0,0.0
3,Tumor epithelial,204,0.0161,2.45,0.0703,13.24,0.0031,1.47,0.0064,1.47,0.0386,2.94,0.0063,1.47,0.0146,0.98,0.123,16.67,0.5127,39.71,0.1864,25.49
4,NK cell,192,0.3243,18.75,0.0294,2.08,0.0068,0.52,0.261,14.58,0.5227,28.12,0.2925,15.62,0.526,29.69,0.4088,24.48,0.0,0.0,0.0,0.0
5,Plasma cell,99,0.1477,11.11,0.041,6.06,0.0163,3.03,0.1364,9.09,0.1627,17.17,0.0284,4.04,0.2515,17.17,0.3275,35.35,0.0,0.0,0.0026,1.01
6,Endothelial,44,0.0995,6.82,0.1159,9.09,0.0,0.0,0.2029,13.64,0.0925,6.82,0.0441,2.27,0.1942,11.36,0.745,54.55,0.2291,9.09,0.1739,13.64
7,Mast cell,93,0.056,3.23,0.2372,17.2,0.0389,3.23,0.0349,2.15,0.0424,2.15,0.3122,21.51,0.0572,3.23,0.5834,39.78,0.0058,1.08,0.1489,13.98
8,Unknown,104,0.2728,14.42,0.0,0.0,0.0,0.0,0.2928,17.31,0.1976,9.62,0.0691,2.88,0.3664,18.27,0.3713,21.15,0.0491,1.92,0.0174,0.96
9,Dendritic cell,17,0.0959,11.76,0.0347,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.082,11.76,0.0,0.0,0.391,29.41,0.0722,5.88,0.0,0.0
10,Fibroblast,26,0.0781,3.85,0.0118,3.85,0.0,0.0,0.021,3.85,0.038,7.69,0.024,7.69,0.092,3.85,0.4154,38.46,0.0,0.0,0.2327,30.77
